metric_name,timestamp,metric_value,check,error,error_code,expected_response,group,method,name,proto,scenario,service,status,subproto,tls_version,url,extra_tags,metadata
vus_max,1700180333,1.000000,,,,,,,,,,,,,,,,
vus,1700180334,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180334,1.000000,,,,,,,,,,,,,,,,
vus,1700180335,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180335,1.000000,,,,,,,,,,,,,,,,
vus,1700180336,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180336,1.000000,,,,,,,,,,,,,,,,
vus,1700180337,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180337,1.000000,,,,,,,,,,,,,,,,
vus,1700180338,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180338,1.000000,,,,,,,,,,,,,,,,
vus,1700180339,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180339,1.000000,,,,,,,,,,,,,,,,
vus,1700180340,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180340,1.000000,,,,,,,,,,,,,,,,
vus,1700180341,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180341,1.000000,,,,,,,,,,,,,,,,
vus,1700180342,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180342,1.000000,,,,,,,,,,,,,,,,
vus,1700180343,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180343,1.000000,,,,,,,,,,,,,,,,
vus,1700180344,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180344,1.000000,,,,,,,,,,,,,,,,
vus,1700180345,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180345,1.000000,,,,,,,,,,,,,,,,
vus,1700180346,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180346,1.000000,,,,,,,,,,,,,,,,
vus,1700180347,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180347,1.000000,,,,,,,,,,,,,,,,
vus,1700180348,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180348,1.000000,,,,,,,,,,,,,,,,
vus,1700180349,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180349,1.000000,,,,,,,,,,,,,,,,
vus,1700180350,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180350,1.000000,,,,,,,,,,,,,,,,
vus,1700180351,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180351,1.000000,,,,,,,,,,,,,,,,
vus,1700180352,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180352,1.000000,,,,,,,,,,,,,,,,
vus,1700180353,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180353,1.000000,,,,,,,,,,,,,,,,
vus,1700180354,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180354,1.000000,,,,,,,,,,,,,,,,
vus,1700180355,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180355,1.000000,,,,,,,,,,,,,,,,
vus,1700180356,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180356,1.000000,,,,,,,,,,,,,,,,
vus,1700180357,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180357,1.000000,,,,,,,,,,,,,,,,
vus,1700180358,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180358,1.000000,,,,,,,,,,,,,,,,
vus,1700180359,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180359,1.000000,,,,,,,,,,,,,,,,
vus,1700180360,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180360,1.000000,,,,,,,,,,,,,,,,
vus,1700180361,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180361,1.000000,,,,,,,,,,,,,,,,
vus,1700180362,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180362,1.000000,,,,,,,,,,,,,,,,
vus,1700180363,1.000000,,,,,,,,,,,,,,,,
vus_max,1700180363,1.000000,,,,,,,,,,,,,,,,
